image_id,generator,split,cue,delta,toward,logit,p_synth,logit_reference,p_synth_reference
2570d11c9dc782fb1b9ccca568e47255,imagen3,test,dslr_cues,0.1049991063773632,DSLR capture cues present,2.497630913176473,0.9239755712138196,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,imagen3,test,panning,0.07015085406601429,subject sharp with streaked background,2.497630913176473,0.9239755712138196,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,imagen3,test,lighting_quality,-0.06184323877096176,harsh overhead light,2.497630913176473,0.9239755712138196,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,imagen3,test,dynamic_range,0.06159690860658884,wide dynamic range,2.497630913176473,0.9239755712138196,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,imagen3,test,instant_camera_cues,-0.06010546535253525,clean digital look,2.497630913176473,0.9239755712138196,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,imagen3,test,color_accuracy,0.05646129883825779,true to scene hues,2.497630913176473,0.9239755712138196,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,FLUX.1-dev,test,dslr_cues,0.08308046543970704,DSLR capture cues present,2.219390755230662,0.9019773429943176,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,FLUX.1-dev,test,panning,0.05412081070244312,subject sharp with streaked background,2.219390755230662,0.9019773429943176,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,FLUX.1-dev,test,specular_noise,0.05373475328087807,micro sparkle preserved,2.219390755230662,0.9019773429943176,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,FLUX.1-dev,test,fine_detail,0.052371599711477757,organic micro detail,2.219390755230662,0.9019773429943176,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,FLUX.1-dev,test,glitch_artifacts,0.05176110565662384,no glitch artifacts,2.219390755230662,0.9019773429943176,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,FLUX.1-dev,test,sharpness,0.0491380300372839,sharp detail,2.219390755230662,0.9019773429943176,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,SD3-medium,test,mirrorless_cues,0.10454572923481464,mirrorless capture cues present,2.57306975328024,0.9291081554035096,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,SD3-medium,test,rule_of_thirds,0.07934334501624107,good thirds placement,2.57306975328024,0.9291081554035096,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,SD3-medium,test,lighting_quality,-0.07816306129097939,harsh overhead light,2.57306975328024,0.9291081554035096,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,SD3-medium,test,specular_noise,0.07592182606458664,micro sparkle preserved,2.57306975328024,0.9291081554035096,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,SD3-medium,test,dynamic_range,0.06986046396195889,wide dynamic range,2.57306975328024,0.9291081554035096,0.0146090887326586,0.5036522072272243
2570d11c9dc782fb1b9ccca568e47255,SD3-medium,test,fine_detail,0.06521778367459774,organic micro detail,2.57306975328024,0.9291081554035096,0.0146090887326586,0.5036522072272243
